"term","name","family"
"Abdiel","Here","Atlantic-Congo"
"Abdinasir","Arabic","Afro-Asiatic"
"abditive","Latin","Indo-European"
"abditory","Medieval Latin","Indo-European"
"abdomen","Latin","Indo-European"
"abdomin-","Latin","Indo-European"
"abdominal","Old Latin","Indo-European"
"abdominalgia","Latin","Indo-European"
"abdominocardiac","Latin","Indo-European"
"abdominoscrotal muscle","Latin","Indo-European"
"abdominous","Latin","Indo-European"
"abdominovaginal","Latin","Indo-European"
"Abdon","Here","Atlantic-Congo"
"abduce","Latin","Indo-European"
"abducens muscle","Latin","Indo-European"
"abducens nerve","Old Latin","Indo-European"
"abducens oculi","Latin","Indo-European"
"abducent","Latin","Indo-European"
"abducent nerve","Latin","Indo-European"
"abduct","Latin","Indo-European"
"abduction","Latin","Indo-European"
"abductor","Old Latin","Indo-European"
"Abdul","Arabic","Afro-Asiatic"
"Abdulaziz","Ottoman Turkish","Turkic"
"Abdullah","Arabic","Afro-Asiatic"
"Abdullatif","Arabic","Afro-Asiatic"
"Abdulmalik","Arabic","Afro-Asiatic"
"Abdunnasir","Arabic","Afro-Asiatic"
"Abdy","Middle English","Indo-European"
"Abe","Japanese","Japonic"
"abear","Middle English","Indo-European"
"abecedarian","Late Latin","Indo-European"
"abecedarium","Latin","Indo-European"
"abecedarius","Old Latin","Indo-European"
"abecedary","Medieval Latin","Indo-European"
"abed","Middle English","Indo-European"
"Abed","Arabic","Afro-Asiatic"
"Abednego","Here","Atlantic-Congo"
"abegha","Western Armenian","Indo-European"
"Abel","Latin","Indo-European"
"Abelard","French","Indo-European"
"abele","Middle French","Indo-European"
"abelia","Tingal","Bookkeeping"
"abelmosk","Old Latin","Indo-European"
"abeltree","Dutch","Indo-European"
"abelungu","Xhosa","Atlantic-Congo"
"Abenaki","Montagnais","Algic"
"abendmusik","German","Indo-European"
"abeng","Akan","Atlantic-Congo"
"Abenlen","Ila","Atlantic-Congo"
"abenteric","Ancient North Greek","Indo-European"
"Abeokuta","Yoruba","Atlantic-Congo"
"Aberaman","Welsh","Indo-European"
"Aberavon","Welsh","Indo-European"
"Aberbran","Welsh","Indo-European"
"Abercynon","Welsh","Indo-European"
"Aberdare","Welsh","Indo-European"
"Aberdeen","Scottish Gaelic","Indo-European"
"aberdevine","Welsh","Indo-European"
"Aberdonian","Medieval Latin","Indo-European"
"Aberdovey","Welsh","Indo-European"
"Aberdulais","Welsh","Indo-European"
"Abergele","Welsh","Indo-European"
"aberglaube","German","Indo-European"
"Abergwili","Welsh","Indo-European"
"Abernethy","Brythonic","Indo-European"
"Abernethy's fascia","Latin","Indo-European"
"Abernethy's sarcoma","Ancient North Greek","Indo-European"
"Aberporth","Welsh","Indo-European"
"aberr","Latin","Indo-European"
"aberrance","Latin","Indo-European"
"aberrant","Latin","Indo-European"
"aberrate","Latin","Indo-European"
"aberratio lactis","Latin","Indo-European"
"aberratio testis","Latin","Indo-European"
"aberration","Latin","Indo-European"
"Abertawe","Welsh","Indo-European"
"Aberthaw","Welsh","Indo-European"
"aberuncate","Late Latin","Indo-European"
"Aberystwyth","Welsh","Indo-European"
"abessive","Latin","Indo-European"
"abet","Middle French","Indo-European"
"abetalipoproteinemia","Ancient North Greek","Indo-European"
"abetment","Middle French","Indo-European"
"abettor","Anglo-Norman","Indo-European"
"abevacuation","Latin","Indo-European"
"abeyance","Anglo-Norman","Indo-European"
"Abeyta","Spanish","Indo-European"
"Abgar","Classical Syriac","Afro-Asiatic"
"Abgarus","Latin","Indo-European"
"Abgesang","German","Indo-European"
"abgeschmackt","German","Indo-European"
"abgusht","Old Persian","Bookkeeping"
"abhal","Arabic","Afro-Asiatic"
"abhayamudra","Sanskrit","Indo-European"
